data,produto_id,categoria,estoque_inicial,vendas_dia,preco_unitario,promocao
2024-01-01,P001,Eletrônicos,120,8,2500,0
2024-01-02,P001,Eletrônicos,112,10,2500,1
2024-01-03,P001,Eletrônicos,102,7,2500,0
2024-01-04,P001,Eletrônicos,95,12,2400,1
2024-01-05,P001,Eletrônicos,83,9,2500,0
2024-01-06,P001,Eletrônicos,74,6,2500,0
2024-01-07,P001,Eletrônicos,68,11,2450,1
2024-01-08,P001,Eletrônicos,57,5,2500,0
2024-01-09,P001,Eletrônicos,52,8,2500,0
2024-01-10,P001,Eletrônicos,44,10,2500,1
2024-01-01,P002,Alimentos,300,25,15,0
2024-01-02,P002,Alimentos,275,30,15,1
2024-01-03,P002,Alimentos,245,28,15,0
2024-01-04,P002,Alimentos,217,35,14,1
2024-01-05,P002,Alimentos,182,22,15,0
2024-01-06,P002,Alimentos,160,20,15,0
2024-01-07,P002,Alimentos,140,27,14,1
2024-01-08,P002,Alimentos,113,24,15,0
2024-01-09,P002,Alimentos,89,26,15,0
2024-01-10,P002,Alimentos,63,30,14,1
